F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,0,0,0,0,0,0,1,0,0,0,0,0,システムは60秒ごとにディスプレイの表示を更新する。
0,0,0,0,1,0,0,0,0,0,0,0,0,アプリケーションは、国土安全保障省によって定められた配色設計の方針に準拠して、配色を決定すること。
0,0,0,0,1,0,0,0,0,0,0,1,0,投影する場合、データは読み取り可能にすること。 10x10の投影スクリーンにおいて、視聴者の90％が30の視聴距離からイベントまたはアクティビティのデータを読み取ることができること。
0,1,0,0,0,0,0,0,0,0,0,0,0,本製品は、通常の営業時間内に利用可能であること。ユーザがクライアントPCにアクセスできる限り、運用開始から6か月の99％利用可能とすること。
0,0,0,0,1,0,0,0,0,0,0,1,0,投影する場合、イベントまたはアクティビティのデータは理解できるものでなければならない。10x10の投影スクリーンでは、視聴者の90％が、100の視聴距離から、現在の時間にイベントまたはアクティビティが発生していることを判断される必要がある。
0,0,0,0,0,0,0,0,0,0,1,0,1,本製品は、許可されたユーザのみがアクセスできることを保証する。本製品は、すべてのアクセスの試みに対して、認可されたユーザと認可されていないユーザを区別しなければならない。
0,0,0,0,0,0,0,0,0,0,0,1,0,本製品は、特別な説明を必要とせず直観的に利用できる必要がある。新規ユーザの90%が、製品を使用してから90分以内にイベントまたはアクティビティの表示を開始でき必要がある。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、最新のデータをディスプレイに表示するために高速に応答しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、イベントを時間ごとに一覧表で表示する。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、イベントを時間ごとにグラフで表示する。
1,0,0,0,0,0,0,0,0,0,0,0,0,システムは、イベントまたはアクティビティを表示する。
1,0,0,0,0,0,0,0,0,0,0,0,0,グラフ中のノードとテーブル中の行に表示されるデータは、MSELの要約データである。
1,0,0,0,0,0,0,0,0,0,0,0,0,ディスプレイのテーブル側は、シーケンシャル（順次）表示と、テンポラル（一時的）の2つの領域に分割される。
1,0,0,0,0,0,0,0,0,0,0,0,0,テーブル（表）の上部1/4には、順次発生するイベントが格納される。
1,0,0,0,0,0,0,0,0,0,0,0,0,テーブル（表）の下部3/4には、現在の時刻との関連性に応じて発生するイベントが格納される。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、現在時刻からの変動に応じてイベントを色分けする。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、変更のために、イベントをSync Matrix 1.0またはExercise Managment Tool 1.0アプリケーションにリンクし直す。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、表示の変更を可能にする。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムでは、演習中のすべてのイベントを表示する。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、データを、会場と主要イベントによってフィルタリング（選別）する。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムでは、ユーザが時間セグメントを定義できる。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、アクティビティやイベントの実際の時間と想定される時間のチャート（図）を提示する。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムは、アクティビティまたはイベントデータに加えられた変更の履歴レポートを提供する。
0,0,0,0,1,0,0,0,0,0,0,0,0,本システムのルックアンドフィールは、スマートデバイスのユーザーインターフェース標準の規格に準拠しなければならない。
0,0,0,0,1,0,0,0,0,0,0,0,0,ユーザインターフェースには、ナビゲーション用の標準的なメニューボタンを備えなければならない。
0,0,0,0,1,0,0,0,0,0,0,0,0,本システムは、プロフェッショナルな外観を備えなければならない。
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品は、一貫した配色設計の方針やフォントを備えている必要がある。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、トレーニングを受けていない不動産業者が使用できなければならない。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、直感的でわかりやすいシステムであること。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、不動産業者が習得しやすい製品であること。
0,0,0,0,1,0,0,0,0,0,0,1,0,本製品には、不動産業者のコミュニティが自然に理解できるような記号や言葉を使用すること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、許容範囲内の時間で検索結果を出すこと。
0,0,0,0,0,0,0,1,0,0,0,0,0,検索結果は、ユーザが検索条件を入力してから30秒以内に返されること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、許容できる時間内にCMAレポートを生成すること。
0,0,0,0,0,0,0,1,0,0,0,0,0,CMAレポートは、ユーザがCMAレポートの基準を入力してから60秒以内に返却されること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、連絡先や予定を許容範囲内の時間で同期すること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、1時間ごとにオフィスのシステムと同期すること。
0,1,0,0,0,0,0,0,0,0,0,0,0,本製品は、1年365日、24時間使用可能であること。
